invalid,valid,operations
+861372955b8e8,+8613729558838,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_8|keep|replace_3|keep
17347753,+6517347753,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
67810349045,+8667810349045,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
65324298855,+8665324298855,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86l9379180115,+8619379180115,keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6184 4387331,+61844387331,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
+6s69773690,+6569773690,keep|keep|replace_5|keep|keep|keep|keep|keep|keep|keep|keep
44138858,+6544138858,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+330 10789 515,+33010789515,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|delete|keep|keep|keep
+4441698643  39,+444169864339,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|delete|keep|keep
+449041b6975b,+449041869758,keep|keep|keep|keep|keep|keep|keep|replace_8|keep|keep|keep|keep|replace_8
+91036762e676,+910367623676,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_3|keep|keep|keep
675005170,+61675005170,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
59l 16 447683,+8659116447683,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+16  426120716,+16426120716,keep|keep|keep|delete|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
9783319 o9 3,+19783319093,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86700368 41618,+8670036841618,keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
+613204 30977,+61320430977,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
6848599 93 00,+8668485999300,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
0744870260,+910744870260,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
8591854425,+918591854425,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+91912b859g83,+919128859983,keep|keep|keep|keep|keep|keep|replace_8|keep|keep|keep|replace_9|keep|keep
4704909564,+914704909564,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6s94s96612,+6594596612,keep|keep|replace_5|keep|keep|replace_5|keep|keep|keep|keep|keep
+6l98a254562,+61982254562,keep|keep|replace_1|keep|keep|replace_2|keep|keep|keep|keep|keep|keep
+442 33 9895838,+442339895838,keep|keep|keep|keep|delete|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
+6s4a441865,+6542441865,keep|keep|replace_5|keep|replace_2|keep|keep|keep|keep|keep|keep
9024536611,+19024536611,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
184744053,+33184744053,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
17087098,+6517087098,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+61l71910619,+61171910619,keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep|keep
+612 53212353,+61253212353,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep
730191257,+61730191257,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+109l2682789,+10912682789,keep|keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep
674467 81 21,+16744678121,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
11301269,+6511301269,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+6522e36277,+6522336277,keep|keep|keep|keep|keep|replace_3|keep|keep|keep|keep|keep
93948610121,+8693948610121,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
8382049913,+448382049913,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+44243l915695,+442431915695,keep|keep|keep|keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep
207 39 793e,+61207397933,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+8697 739884542,+8697739884542,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
8672426528,+18672426528,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
2962218395,+442962218395,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
6946396163,+16946396163,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
2441308056,+12441308056,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+8606295 5 35937,+8606295535937,keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|delete|keep|keep|keep|keep|keep
4057010 41 9,+14057010419,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+447060s54118,+447060554118,keep|keep|keep|keep|keep|keep|keep|replace_5|keep|keep|keep|keep|keep
10432191,+6510432191,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+44e286278653,+443286278653,keep|keep|keep|replace_3|keep|keep|keep|keep|keep|keep|keep|keep|keep
6822737423,+16822737423,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
68522291,+6568522291,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+619 03 248784,+61903248784,keep|keep|keep|keep|delete|keep|keep|delete|keep|keep|keep|keep|keep|keep
2445809505,+912445809505,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6129553 419 9,+61295534199,keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|delete|keep
+4456o4601825,+445604601825,keep|keep|keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep|keep
+b6124l3036297,+8612413036297,keep|replace_8|keep|keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep
+61907669g93,+61907669993,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_9|keep|keep
+3328346597 7,+33283465977,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep
+656b9g3470,+6568993470,keep|keep|keep|keep|replace_8|keep|replace_9|keep|keep|keep|keep
+911713 405145,+911713405145,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep
+9 13 116460041,+913116460041,keep|keep|delete|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
+911996s76972,+911996576972,keep|keep|keep|keep|keep|keep|keep|replace_5|keep|keep|keep|keep|keep
900622451,+33900622451,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6524825445,+6524825445,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
0766408874,+910766408874,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+126364s6966,+12636456966,keep|keep|keep|keep|keep|keep|keep|replace_5|keep|keep|keep|keep
112357996,+33112357996,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
1352544174,+441352544174,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
880685013,+33880685013,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+44712 3890746,+447123890746,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
7812034071,+447812034071,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
4881126205,+444881126205,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+130019 7119 9,+13001971199,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|delete|keep
20284540903,+8620284540903,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61766796913,+61766796913,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
040 97 159,+6504097159,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+6523l1109l,+6523111091,keep|keep|keep|keep|keep|replace_1|keep|keep|keep|keep|replace_1
+91e831249s63,+913831249563,keep|keep|keep|replace_3|keep|keep|keep|keep|keep|keep|replace_5|keep|keep
+86786771bs349,+8678677185349,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_8|replace_5|keep|keep|keep
99357800768,+8699357800768,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
4249035167,+444249035167,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+9l3343b61080,+913343861080,keep|keep|replace_1|keep|keep|keep|keep|replace_8|keep|keep|keep|keep|keep
+9152416a0772,+915241620772,keep|keep|keep|keep|keep|keep|keep|keep|replace_2|keep|keep|keep|keep
196684373,+61196684373,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
1036 88 90466,+8610368890466,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+8628 937065034,+8628937065034,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61l393946b1,+61139394681,keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep|replace_8|keep
+115400335s9,+11540033559,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_5|keep
+1666l1s6232,+16661156232,keep|keep|keep|keep|keep|replace_1|keep|replace_5|keep|keep|keep|keep
+1 9361101977,+19361101977,keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+193s7125ge1,+19357125931,keep|keep|keep|keep|replace_5|keep|keep|keep|keep|replace_9|replace_3|keep
+e399031b423,+33990318423,keep|replace_3|keep|keep|keep|keep|keep|keep|replace_8|keep|keep|keep
+33683 684 143,+33683684143,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|delete|keep|keep|keep
295 53 92064,+12955392064,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
62298 1e 52,+61622981352,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+gl2133774570,+912133774570,keep|replace_9|replace_1|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+65s6478138,+6556478138,keep|keep|keep|replace_5|keep|keep|keep|keep|keep|keep|keep
594825765,+61594825765,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+e367o837969,+33670837969,keep|replace_3|keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep
17967508590,+8617967508590,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+65 777966 93,+6577796693,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|delete|keep|keep
21341 09 484,+442134109484,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+b63o220808o11,+8630220808011,keep|replace_8|keep|keep|replace_0|keep|keep|keep|keep|keep|keep|replace_0|keep|keep
781198 34 85,+447811983485,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
8447938662,+448447938662,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
420659613,+33420659613,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33 011320180,+33011320180,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
+4444eg92393l,+444439923931,keep|keep|keep|keep|keep|replace_3|replace_9|keep|keep|keep|keep|keep|replace_1
5163444142,+15163444142,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
1387200523,+911387200523,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
4516603340,+14516603340,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33b01551b36,+33801551836,keep|keep|keep|replace_8|keep|keep|keep|keep|keep|replace_8|keep|keep
+3382010491 2,+33820104912,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep
43495680,+6543495680,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
84703800326,+8684703800326,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+19l9e007673,+19193007673,keep|keep|keep|replace_1|keep|replace_3|keep|keep|keep|keep|keep|keep
+6135 6637617,+61356637617,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
+863536644g766,+8635366449766,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_9|keep|keep|keep
91969664,+6591969664,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+6518 779058,+6518779058,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep
+3325879e177,+33258793177,keep|keep|keep|keep|keep|keep|keep|keep|replace_3|keep|keep|keep
+910b10773761,+910810773761,keep|keep|keep|keep|replace_8|keep|keep|keep|keep|keep|keep|keep|keep
049786000,+61049786000,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
3983368600,+13983368600,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86o5914728680,+8605914728680,keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
36979496222,+8636979496222,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
47449146,+6547449146,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+65564839 07,+6556483907,keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
280776 43 99,+442807764399,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61o43368774,+61043368774,keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep|keep|keep
+911a35493144,+911235493144,keep|keep|keep|keep|replace_2|keep|keep|keep|keep|keep|keep|keep|keep
477049001,+61477049001,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+338320l5843,+33832015843,keep|keep|keep|keep|keep|keep|keep|replace_1|keep|keep|keep|keep
+3e37s46s248,+33375465248,keep|keep|replace_3|keep|keep|replace_5|keep|keep|replace_5|keep|keep|keep
+e375761585e,+33757615853,keep|replace_3|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_3
+6l7889134a0,+61788913420,keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep|replace_2|keep
0869157145,+10869157145,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6sl5210704,+6515210704,keep|keep|replace_5|replace_1|keep|keep|keep|keep|keep|keep|keep
+3e14623o289,+33146230289,keep|keep|replace_3|keep|keep|keep|keep|keep|replace_0|keep|keep|keep
9386 o3 955,+33938603955,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61822o12175,+61822012175,keep|keep|keep|keep|keep|keep|replace_0|keep|keep|keep|keep|keep
+44526282 6371,+445262826371,keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep
90606171,+6590606171,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+91a044g48552,+912044948552,keep|keep|keep|replace_2|keep|keep|keep|replace_9|keep|keep|keep|keep|keep
4248903941,+444248903941,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
7121302490,+17121302490,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6536 658197,+6536658197,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep
54026712,+6554026712,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+65 42477 153,+6542477153,keep|keep|keep|delete|keep|keep|keep|keep|keep|delete|keep|keep|keep
590 12 84991,+15901284991,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6148907 0850,+61489070850,keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep
6s781 61 51,+33657816151,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61e5438s5l5,+61354385515,keep|keep|keep|replace_3|keep|keep|keep|keep|replace_5|keep|replace_1|keep
+446607345249,+446607345249,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6 10606 38646,+61060638646,keep|keep|delete|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
03744977,+6503744977,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
4470668123,+914470668123,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
6922 27 891,+33692227891,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+158510720 70,+15851072070,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
+6588234583,+6588234583,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
7396388375,+447396388375,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+e3602782006,+33602782006,keep|replace_3|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
53668049,+6553668049,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+333300911o7,+33330091107,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_0|keep
4357067876,+14357067876,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
2335639585,+442335639585,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
9949927901,+19949927901,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61747s1e834,+61747513834,keep|keep|keep|keep|keep|keep|replace_5|keep|replace_3|keep|keep|keep
+44 654 4269461,+446544269461,keep|keep|keep|delete|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
+6576732614,+6576732614,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3315o62o761,+33150620761,keep|keep|keep|keep|keep|replace_0|keep|keep|replace_0|keep|keep|keep
200170488,+33200170488,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
025891631,+33025891631,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+65 98798 338,+6598798338,keep|keep|keep|delete|keep|keep|keep|keep|keep|delete|keep|keep|keep
887 44 24308,+18874424308,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
6198517700,+916198517700,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86337 09208986,+8633709208986,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep
102601132,+33102601132,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
4264323102,+444264323102,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
0184875094,+10184875094,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3397 7614349,+33977614349,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
771541936,+33771541936,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
890467131,+33890467131,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+335513 30124,+33551330124,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
565950263,+61565950263,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33 818253085,+33818253085,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
511332761,+33511332761,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+44841273l157,+448412731157,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_1|keep|keep|keep
4641565297,+14641565297,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+654b466414,+6548466414,keep|keep|keep|keep|replace_8|keep|keep|keep|keep|keep|keep
+9124316468 34,+912431646834,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
+61344733645,+61344733645,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
487 36 7842e,+914873678423,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+g12156402239,+912156402239,keep|replace_9|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
58o 77 2872,+33580772872,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
3522477277,+13522477277,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+449 191865670,+449191865670,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep
33398720,+6533398720,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+1 35 32775890,+13532775890,keep|keep|delete|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep
678 59 83723,+916785983723,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+91845279 3349,+918452793349,keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep
+3e488991e70,+33488991370,keep|keep|replace_3|keep|keep|keep|keep|keep|keep|replace_3|keep|keep
8674 03 1228,+448674031228,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
267535097,+61267535097,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33415 843 125,+33415843125,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|delete|keep|keep|keep
9265 03 5525,+919265035525,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
83792289709,+8683792289709,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
127569950,+61127569950,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
0988438824,+910988438824,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+44 1091772661,+441091772661,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
21742476509,+8621742476509,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
9776530803,+19776530803,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3344 3043971,+33443043971,keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep
444372306,+61444372306,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3316o25s511,+33160255511,keep|keep|keep|keep|keep|replace_0|keep|keep|replace_5|keep|keep|keep
+e3479543634,+33479543634,keep|replace_3|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61a11505454,+61211505454,keep|keep|keep|replace_2|keep|keep|keep|keep|keep|keep|keep|keep
06329807,+6506329807,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+91 4975675554,+914975675554,keep|keep|keep|delete|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+33304a364e0,+33304236430,keep|keep|keep|keep|keep|keep|replace_2|keep|keep|keep|replace_3|keep
3895135396,+13895135396,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+653 2212 902,+6532212902,keep|keep|keep|keep|delete|keep|keep|keep|keep|delete|keep|keep|keep
+l40641o6o25,+14064106025,keep|replace_1|keep|keep|keep|keep|keep|replace_0|keep|replace_0|keep|keep
+445749a77374,+445749277374,keep|keep|keep|keep|keep|keep|keep|replace_2|keep|keep|keep|keep|keep
8009403011,+18009403011,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
8810998172,+448810998172,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
091651310,+61091651310,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3339446g786,+33394469786,keep|keep|keep|keep|keep|keep|keep|keep|replace_9|keep|keep|keep
89753 88 998,+448975388998,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6555 441 632,+6555441632,keep|keep|keep|keep|keep|delete|keep|keep|keep|delete|keep|keep|keep
+186157459 75,+18615745975,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
5824173554,+15824173554,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+6l697096358,+61697096358,keep|keep|replace_1|keep|keep|keep|keep|keep|keep|keep|keep|keep
+8616626008545,+8616626008545,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+1e2o123657b,+13201236578,keep|keep|replace_3|keep|replace_0|keep|keep|keep|keep|keep|keep|replace_8
+1329  5203012,+13295203012,keep|keep|keep|keep|keep|delete|delete|keep|keep|keep|keep|keep|keep|keep
9861 23 3979,+919861233979,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+142348826s3,+14234882653,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_5|keep
+6163l519160,+61631519160,keep|keep|keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep
60860243,+6560860243,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+330363 877 40,+33036387740,keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|delete|keep|keep
+654g7a5592,+6549725592,keep|keep|keep|keep|replace_9|keep|replace_2|keep|keep|keep|keep
+65937 89415,+6593789415,keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
7807913119,+17807913119,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+657369a921,+6573692921,keep|keep|keep|keep|keep|keep|keep|replace_2|keep|keep|keep
32718772311,+8632718772311,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
40905226,+6540905226,insert_country|keep|keep|keep|keep|keep|keep|keep|keep
+19a709eb397,+19270938397,keep|keep|keep|replace_2|keep|keep|keep|replace_3|replace_8|keep|keep|keep
8o63117 66 4,+448063117664,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+3e0s356276o,+33053562760,keep|keep|replace_3|keep|replace_5|keep|keep|keep|keep|keep|keep|replace_0
+448607234os9,+448607234059,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_0|replace_5|keep
+6575e38577,+6575338577,keep|keep|keep|keep|keep|replace_3|keep|keep|keep|keep|keep
+91g919162787,+919919162787,keep|keep|keep|replace_9|keep|keep|keep|keep|keep|keep|keep|keep|keep
+61645580794,+61645580794,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+865855o831022,+8658550831022,keep|keep|keep|keep|keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep
+910e506962e5,+910350696235,keep|keep|keep|keep|replace_3|keep|keep|keep|keep|keep|keep|replace_3|keep
888951138,+61888951138,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+651 04799 19,+6510479919,keep|keep|keep|keep|delete|keep|keep|keep|keep|keep|delete|keep|keep
3729 16 354l,+13729163541,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
+l03108a0174,+10310820174,keep|replace_1|keep|keep|keep|keep|keep|replace_2|keep|keep|keep|keep
+616e776l556,+61637761556,keep|keep|keep|keep|replace_3|keep|keep|keep|replace_1|keep|keep|keep
7227183522,+17227183522,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
917879269,+61917879269,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+86s4893437720,+8654893437720,keep|keep|keep|replace_5|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
699 87 0667,+61699870667,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+655o533134,+6550533134,keep|keep|keep|keep|replace_0|keep|keep|keep|keep|keep|keep
+197218681 89,+19721868189,keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep
+44g392s28a17,+449392528217,keep|keep|keep|replace_9|keep|keep|keep|replace_5|keep|keep|replace_2|keep|keep
+44009789s418,+440097895418,keep|keep|keep|keep|keep|keep|keep|keep|keep|replace_5|keep|keep|keep
97221031143,+8697221031143,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
834617194,+33834617194,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+4 433759 76931,+443375976931,keep|keep|delete|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep|keep|keep
806l54 01 19,+448061540119,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
4116650289,+444116650289,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
7689336098,+447689336098,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep|keep
065204934,+33065204934,insert_country|keep|keep|keep|keep|keep|keep|keep|keep|keep
+1454l844982,+14541844982,keep|keep|keep|keep|keep|replace_1|keep|keep|keep|keep|keep|keep
+61149198 957,+61149198957,keep|keep|keep|keep|keep|keep|keep|keep|keep|delete|keep|keep|keep
