PhoneNumber,Valid
+1 234 567 8901 2345,0
+55563234459,1
(555) 123-4567,0
+81162 65075,1
+1234567890x123,0
+4453607665,1
4119310539,0
+abcdefghij,0
+3944738023,1
+text789012,0
32180526594,0
+3389,0
123-456-7890,0
+8229215684,1
+55291451370,1
+55614779324,1
+9147411795,1
+65217-709,1
+7,0
+1873042527,1
+3944004915,1
+,0
123,0
+phone123456,0
+319864621,1
+338294308,1
0956461716647,0
+33,0
+text789012,0
+46661,0
+49238518694,1
76840045448938,0
+1743382097,1
+call123456,0
275610938244623,0
+86832259322,1
+7651 251901,1
+7077233106,1
+3905033832,1
+607,0
+1234invalid,0
+349889715,1
+4422781462,1
+331613382,1
+55793981582,1
58816024,0
+158662,0
+90943,0
+text789012,0
+1234567xyz,0
889309551212,0
+316133501,1
+1234567xyz,0
+abcdefghij,0
+9176180803,1
+3988009679,1
+86352349703,1
+342390,0
+9177084576,1
+text789012,0
+65169881,1
+33712-9492,1
+7162141203,1
+334271064,1
+618437840,1
+3,0
7592728836,0
240967230016052,0
(555) 123-4567,0
+1234567xyz,0
+344001960,1
+49558043335,1
+137,0
+12345678901234567890,0
+7124388335,1
555.123.4567,0
+613851902,1
+811671,0
+964317,0
+text789012,0
1-800-FLOWERS,0
+7433-414233,1
+7186731895,1
+12345678901234567890,0
+55835670903,1
+49374008192,1
+55040438475,1
+8289075869,1
+3967427924,1
+614409262,1
+65498983,1
,0
+68,0
+1769076624,1
+4435311358,1
+615695806,1
87797801564,0
123,0
+1234invalid,0
+336328781,1
+9187869174,1
7537157584860,0
+15,0
06313346347,0
+1234567abc,0
+337773176,1
+1234567890 ext 123,0
+39527 97605,1
+7420486177,1
+341885581,1
+9199211431,1
invalid_phone,0
+93,0
+56037,0
+abcdefghij,0
phone,0
+612982402,1
+8,0
+1234567abc,0
+65966503,1
+65238632,1
+06,0
+1845627353,1
+716825,0
+8291251434,1
4540112,0
+text789012,0
+1688459995,1
+6582,0
+49788453141,1
90225404,0
+8230202456,1
invalid_phone,0
91670054921,0
+call123456,0
+1164928653,1
+1234567abc,0
+ 1234567890,0
+86127804770,1
+4468333418,1
+1234invalid,0
+abcdefghij,0
+9871,0
95388293,0
+347259761,1
55199638215,0
+337272161,1
+7,0
+9601,0
929423288370761,0
+4486021727,1
+9187349832,1
phone,0
+1234567890x123,0
+55628435155,1
+347737362,1
32338227268317,0
+12345678901234567890,0
+82591 59013,1
+ 1234567890,0
+616067199,1
+7947907641,1
+337011960,1
+7064 954636,1
+55072246764,1
+49434551411,1
+314673067,1
+81270 95201,1
+4487072818,1
+4404909370,1
870480727138953,0
+1774790232,1
+1234567xyz,0
+9176604785,1
588459719289,0
843284409122381,0
++1234567890,0
+3907013901,1
+318667163,1
+39099 90996,1
+1234567abc,0
+1089605100,1
+phone123456,0
+86473559305,1
+86116635461,1
+86388733937,1
73502330919,0
,0
+1234567890abc,0
invalid_phone,0
(555) 123-4567,0
+3961696797,1
+615302261,1
2443348715084,0
+86,0
+12345678901234567890,0
+319392822,1
+3965977105,1
06461167620361,0
+524,0
+81512-03476,1
+abcdefghij,0
+49986267411,1
+49723913079,1
+1234567890 ext 123,0
+4,0
++1234567890,0
++1234567890,0
+1234invalid,0
+55667-578075,1
+9174445634,1
1512422147,0
+82994 20342,1
+1177,0
+1219975395,1
+1 234 567 8901 2345,0
123-456-7890,0
+4428920952,1
+613844050,1
+8158882192,1
1-800-FLOWERS,0
+text789012,0
+3906553077,1
+49869679652,1
+610911022,1
+86136658591,1
+55855943222,1
+ 1234567890,0
+abcdefghij,0
+39728-36475,1
+319743213,1
+4438826969,1
+2,0
+abcdefghij,0
+55815 841912,1
+186,0
+86846922288,1
+49469340125,1
+1234567abc,0
+346406466,1
+81753-50646,1
+8241289307,1
+610506656,1
+55781909570,1
+1097,0
452063378866368,0
+65695785,1
+49122169423,1
0874006969362,0
+313816936,1
+3908361301,1
4799740705203,0
+81995-67728,1
+312738096,1
596256431600,0
+9199921147,1
+,0
+4043,0
+55341 833498,1
+3956705688,1
+1489244399,1
+5150,0
+8229443924,1
+618571167,1
+4491182376,1
+65541337,1
+314095642,1
+7650716997,1
+610821749,1
+3989575662,1
123,0
+69194,0
+067188,0
+209183,0
555.123.4567,0
+65533921,1
++1234567890,0
+9818,0
+9,0
+abcdefghij,0
+86128173275,1
+78,0
+570152,0
+7661810066,1
+1234567890abc,0
+7803870791,1
+1674249396,1
+ 1234567890,0
100661259,0
+1234invalid,0
+49278220923,1
+8102328692,1
+,0
+8221264335,1
+call123456,0
+86702027930,1
64876017723,0
+9129392650,1
+12345678901234567890,0
+7736040837,1
++1234567890,0
+8262663055,1
+1234567890abc,0
+339017574,1
+332187839,1
+call123456,0
123-456-7890,0
+49020204760,1
513264932570890,0
+1234567abc,0
+49784964273,1
68545433,0
+313693888,1
+349113323,1
+660,0
++1234567890,0
+49,0
+336835308,1
+610278381,1
+55510407879,1
+9168005747,1
+65992 952,1
++1234567890,0
+787986,0
+4403914334,1
+,0
+7,0
+340338741,1
1-800-FLOWERS,0
+313703355,1
+31576-4531,1
2108196,0
8091310,0
+348993141,1
+617321530,1
+49214226614,1
+8294464601,1
+04511,0
+1234567890abc,0
+1322134276,1
+7588447493,1
+49441117889,1
123,0
+98076,0
10335501885221,0
+1,0
+1234invalid,0
+344058077,1
+12345678901234567890,0
+call123456,0
phone,0
+65835011,1
+338481896,1
+3964977032,1
+318560223,1
+8107492035,1
+61751 0689,1
+254,0
+319778854,1
+0,0
459142807307805,0
92507319084213,0
+8247399821,1
+49483081573,1
078579804,0
+55389140811,1
+1817170382,1
+49137580082,1
++1234567890,0
+91710-25761,1
+4431775427,1
+236,0
70723654,0
86795197734,0
+613205735,1
+65559158,1
+315173287,1
+1234invalid,0
+616582219,1
+349336051,1
+616602364,1
+9131190431,1
(555) 123-4567,0
+1234567xyz,0
+483448,0
1-800-FLOWERS,0
+1234567890 ext 123,0
+43008,0
+346930458,1
+618664259,1
+1 234 567 8901 2345,0
+3998304610,1
+615991913,1
+call123456,0
+4499479532,1
666654100909141,0
2327412,0
578937391391799,0
+86682-404496,1
6249400886439,0
+33923 8428,1
+34725-7844,1
+1234567abc,0
5144410174,0
+55675364298,1
+346394308,1
+1569,0
56322964243,0
25906041,0
+7338777056,1
236732789,0
+4490437319,1
+342548320,1
+92,0
+phone123456,0
+7727826717,1
555.123.4567,0
+95227,0
+82261-01389,1
(555) 123-4567,0
+86530365647,1
2562605228359,0
,0
+39289-13903,1
+69370,0
invalid_phone,0
+49939728604,1
+abcdefghij,0
+3,0
(555) 123-4567,0
39823760,0
1-800-FLOWERS,0
+80,0
+9137766535,1
0906114962,0
+348089314,1
+5939,0
+343011988,1
+272,0
7718554784,0
+abcdefghij,0
+8250993098,1
+91017 07538,1
+call123456,0
57458263,0
(555) 123-4567,0
+1703991767,1
++1234567890,0
+text789012,0
+51696,0
993925809863844,0
+1234567890x123,0
+3952240734,1
+333719930,1
phone,0
+336771500,1
+55756928385,1
+778077,0
+20,0
+1234567xyz,0
+720,0
46929451251039,0
+4498149294,1
+49650198728,1
+69248,0
+49911777893,1
+1024394311,1
+1234567xyz,0
+1388289493,1
555.123.4567,0
+65137589,1
123,0
+82175 92544,1
+3914366425,1
+65963-424,1
+958771,0
+1234invalid,0
+4418291792,1
+1314-646369,1
+333591591,1
+73607,0
+97356,0
(555) 123-4567,0
+4434069528,1
+7347312336,1
+text789012,0
+1179872950,1
+1543525540,1
+1 234 567 8901 2345,0
+55111-665776,1
+8236297266,1
+1234567xyz,0
+1234567890 ext 123,0
+8267313140,1
+348901882,1
+49575385718,1
+4422828416,1
+55681728626,1
+39611 36005,1
+text789012,0
+8258899306,1
411993072606743,0
+1234567abc,0
+67517,0
123,0
+7019996149,1
+1026-446285,1
+55676 766414,1
+65883461,1
+call123456,0
1-800-FLOWERS,0
+334879118,1
+49007 601214,1
+4421918411,1
+1234567xyz,0
+82455 26109,1
+4411919741,1
+86642383772,1
+1411120155,1
+34488,0
+1234567890x123,0
+65334510,1
+72,0
+479130,0
+618481310,1
+86393135678,1
+92286,0
+1234invalid,0
+91921 47436,1
+8214238233,1
+49892385482,1
+1234567890 ext 123,0
+1234567890abc,0
+313953345,1
+3978378360,1
47790971131504,0
+1269285850,1
+341872370,1
996371226,0
+4496449157,1
+49834564955,1
+610924980,1
+2728,0
+08,0
+1270480000,1
691337179780,0
+8147469145,1
+8174199880,1
9347716223,0
+334107693,1
+5,0
+316821099,1
123-456-7890,0
+3974925551,1
+7030367384,1
+phone123456,0
+2848,0
(555) 123-4567,0
+344134904,1
+344519635,1
+4448779304,1
+39056 75157,1
+312576023,1
+4454385815,1
+9185585845,1
+9101274660,1
+3933245598,1
+91773-93341,1
+9120163031,1
724164835,0
+3920717213,1
+8205498453,1
+55691-829988,1
+61989 4288,1
+8206921256,1
(555) 123-4567,0
+8296769619,1
+81215 70013,1
phone,0
+1234567890 ext 123,0
phone,0
413209413060,0
+7916 172067,1
+92563,0
173265188975,0
+65994896,1
+609817,0
invalid_phone,0
+call123456,0
+7559882663,1
+7174697657,1
+347688495,1
+9133584028,1
+52,0
+4630,0
++1234567890,0
+4559,0
+314639481,1
+8116459018,1
+5,0
+8149171640,1
+1052-418664,1
+1234567890abc,0
13856076,0
+7208579926,1
+4434188583,1
+27302,0
+7297,0
6354743,0
+49220558416,1
+1234567890abc,0
061237358536,0
123,0
+3956150948,1
+86354406433,1
+612107355,1
+phone123456,0
,0
+call123456,0
+69,0
+8172325356,1
+8174342167,1
01435186896486,0
+616223071,1
+8173769382,1
+8247908860,1
+8237679706,1
+86292 978852,1
+1234567abc,0
3936665082,0
+55141419537,1
+2,0
+343338902,1
+1234567890 ext 123,0
,0
+1234invalid,0
+7813381229,1
+8192794011,1
+3962023111,1
+abcdefghij,0
5773861331627,0
+332699214,1
+1234567890x123,0
+65799197,1
+618077327,1
+339131684,1
89530705,0
1-800-FLOWERS,0
+text789012,0
123-456-7890,0
123-456-7890,0
0181132713,0
123-456-7890,0
+611851607,1
94939420,0
+phone123456,0
+344173305,1
+65675-220,1
+738,0
2239702823443,0
+65009131,1
+44836-24795,1
+7569-546395,1
+1549238809,1
+7329237918,1
+4426810909,1
1-800-FLOWERS,0
+8175977638,1
+1234invalid,0
+49981585145,1
+1511955471,1
+9109480091,1
38449361,0
(555) 123-4567,0
42092056505,0
+345823810,1
+7763703541,1
+336836406,1
+abcdefghij,0
+text789012,0
+text789012,0
555.123.4567,0
++1234567890,0
+613315997,1
+610117683,1
+31590-0171,1
+,0
782217202,0
+1,0
+61458-3119,1
275692304504331,0
+,0
+65097-588,1
phone,0
+49161814975,1
+2953,0
+1 234 567 8901 2345,0
+330695100,1
764408382,0
phone,0
+8188715302,1
+1090483741,1
4684362846,0
+617331409,1
+86664808273,1
555.123.4567,0
+29830,0
+1234567890abc,0
+65646255,1
+9126878332,1
+55988372962,1
+33671 7224,1
+610500962,1
+317170106,1
+phone123456,0
378058828477064,0
+319607264,1
+5572,0
+318658484,1
+12345678901234567890,0
+82241-69365,1
+749637,0
+319261443,1
+3945925520,1
+52186,0
+8,0
invalid_phone,0
+1234invalid,0
+8178349825,1
+44384 27961,1
+8225948686,1
,0
+49213850390,1
1-800-FLOWERS,0
+1234567890abc,0
+8232809210,1
+text789012,0
+1077438226,1
+49058286539,1
+abcdefghij,0
+1234567xyz,0
+527,0
38890888,0
+7584214304,1
5991369880,0
+text789012,0
+9,0
+3921701818,1
+7707-506041,1
+text789012,0
+1234567abc,0
+87,0
17461039,0
+1543944947,1
+ 1234567890,0
1-800-FLOWERS,0
+1234567abc,0
+49406896169,1
+1 234 567 8901 2345,0
+340667504,1
+710595,0
123,0
+9123570728,1
+7257202528,1
2314313256373,0
+614195879,1
phone,0
956824798022,0
+7054571669,1
+4486059074,1
+text789012,0
+86565691257,1
+4452177484,1
+1 234 567 8901 2345,0
+338436286,1
7766426104,0
1-800-FLOWERS,0
+12345678901234567890,0
+869,0
+1234567xyz,0
+44135-89694,1
+44838 05586,1
1-800-FLOWERS,0
+phone123456,0
+1234567890x123,0
+86740657171,1
3894110799,0
+7032517676,1
+65149800,1
667398568443905,0
+294,0
+026884,0
998570497,0
+7911883071,1
+1166552269,1
+3964512030,1
+8266717101,1
87823492789228,0
+91744-99932,1
invalid_phone,0
635083969,0
+4,0
+65245348,1
+466,0
+49448882355,1
+86831-437300,1
555.123.4567,0
704202344,0
+611403415,1
+768435,0
invalid_phone,0
187406950187,0
+39917 96353,1
+49913761253,1
+7871 698517,1
+9179230089,1
phone,0
+88311,0
+333712856,1
+08407,0
0114406751,0
+307872,0
1070312096,0
+617041992,1
+778,0
+346097306,1
+1234567abc,0
2426214879056,0
+31692-8649,1
+39764-84310,1
+7223849002,1
+3900114699,1
+call123456,0
+9125578086,1
+1234567abc,0
+343813204,1
+330836277,1
+67600,0
1531654,0
+1228119420,1
+8162605079,1
7138808882,0
+55124981926,1
+331959679,1
+phone123456,0
562962286,0
+8242062930,1
+65449645,1
+345120296,1
+8243420509,1
+86815926340,1
+abcdefghij,0
208087409952,0
+49251093230,1
+315192692,1
(555) 123-4567,0
+9947,0
+91523-64656,1
+49999360170,1
+81268-24654,1
+342931501,1
+55145403147,1
+8096,0
+1638,0
+1 234 567 8901 2345,0
+7567671385,1
+call123456,0
123-456-7890,0
7708119115296,0
+373,0
+1234567890x123,0
+349414073,1
+49436 493974,1
+481263,0
+57,0
+8218234495,1
706704208,0
+7110 762197,1
+320,0
+text789012,0
+1234567890 ext 123,0
+346106814,1
+19089,0
+call123456,0
+318198798,1
+83,0
+9158893243,1
+341317715,1
+1488874301,1
+579628,0
+49545349665,1
+1234567890 ext 123,0
+344544685,1
75373213323,0
+618880760,1
+8244279079,1
+49635050967,1
+1518787104,1
+text789012,0
+331333269,1
+8109749940,1
+51690,0
78023340028626,0
+55655044256,1
+8254702739,1
+1905762601,1
+78379,0
+67,0
+333368829,1
+1234567890abc,0
+7220124958,1
+3900646788,1
+240332,0
+1234567abc,0
+49194851016,1
+1234567890abc,0
+336189036,1
6155201,0
+8224447144,1
+1234567890x123,0
847622786813022,0
+8186554988,1
+1234567abc,0
123,0
+333384886,1
+44202 39839,1
+314896388,1
+abcdefghij,0
+65645884,1
+34683-9197,1
1-800-FLOWERS,0
+33748-9559,1
+35400,0
+49144129759,1
+call123456,0
+203,0
+6723,0
+abcdefghij,0
++1234567890,0
+61634 9209,1
123-456-7890,0
1-800-FLOWERS,0
+8219942459,1
+49348366509,1
+4414169502,1
+1 234 567 8901 2345,0
+314089268,1
+4400450988,1
+9146635898,1
+97,0
+00,0
3015410042803,0
+86581769085,1
+65821 637,1
1-800-FLOWERS,0
+49276-426256,1
5689713916058,0
219423738,0
97543152,0
+9,0
+610070520,1
+49316184581,1
+34932-3295,1
+65089788,1
18940476,0
+1234invalid,0
10213043104456,0
+phone123456,0
+8144152078,1
+text789012,0
+318086482,1
+4481234066,1
+86054654592,1
+7077860819,1
06613382577279,0
+abcdefghij,0
+49746063217,1
+80536,0
+4494560473,1
+56,0
+8202568240,1
+561,0
+338526678,1
+1234invalid,0
+1234invalid,0
+3985158095,1
+66223,0
+314649504,1
+1558331053,1
+ 1234567890,0
+315002198,1
+3910508860,1
+345403885,1
+phone123456,0
+312394075,1
+4417471722,1
+575973,0
+9124415855,1
+49837703523,1
(555) 123-4567,0
+1234567xyz,0
3273904208719,0
+4,0
+346932382,1
+9198225631,1
+9149881467,1
+341661,0
,0
+33830-9708,1
+7975173556,1
+451,0
+7653501111,1
+611433772,1
540801471236,0
+331021282,1
+1234567890abc,0
+61773-6572,1
+184801,0
123,0
+7016014121,1
+49775959568,1
+316251813,1
555.123.4567,0
+81752 63671,1
+9108318353,1
+345036446,1
+856867,0
+7131633842,1
+text789012,0
+,0
+604789,0
+abcdefghij,0
+338017410,1
9468560906108,0
+86909-561752,1
+3916279569,1
+1234567xyz,0
+34884-3542,1
+86567191380,1
+65324 148,1
+phone123456,0
+3965848238,1
+61021 2910,1
+611371127,1
+34380 5504,1
+7381 247243,1
+1234567abc,0
0587015,0
+39592 45263,1
+1234invalid,0
1-800-FLOWERS,0
555.123.4567,0
+text789012,0
+call123456,0
+49874 186811,1
0663637980,0
+49036803624,1
+81903-80219,1
+1234567abc,0
+86914188210,1
(555) 123-4567,0
+49465415831,1
++1234567890,0
+49530729521,1
phone,0
57551367612296,0
+55936767073,1
+70518,0
+8208069210,1
+abcdefghij,0
956404582469,0
+abcdefghij,0
+1234invalid,0
+580818,0
+27184,0
+26141,0
+ 1234567890,0
+980582,0
+82900,0
+1234567xyz,0
+call123456,0
054860620610032,0
+7117 898198,1
+81320,0
+49866743829,1
+44573 23306,1
+346031843,1
+86600833838,1
+1,0
+8232547627,1
+3953887401,1
555.123.4567,0
+65561312,1
(555) 123-4567,0
+49617272931,1
+1 234 567 8901 2345,0
+86524152008,1
+3976346557,1
+7543483548,1
+336198403,1
+,0
123-456-7890,0
+49093301187,1
+49746508496,1
+1234567890x123,0
7609206,0
+1447262418,1
+042,0
+2,0
+338674697,1
+9132290744,1
+104,0
63872676,0
+7679343468,1
+17551,0
+abcdefghij,0
+33445-4662,1
+86650094769,1
44644690,0
+91987-63524,1
+1234567890abc,0
+55072143523,1
+7062650183,1
+1234567890abc,0
+text789012,0
1332391,0
+4402294650,1
+1130643199,1
+4445083273,1
+phone123456,0
9135210,0
+310370445,1
+7076247903,1
9423278265980,0
+333552821,1
+857731,0
+3081,0
+19,0
+12345678901234567890,0
+55379008028,1
4486538595,0
(555) 123-4567,0
+1234567890x123,0
+3988487607,1
+8205453208,1
+33294-1627,1
555.123.4567,0
+7242788194,1
+8183041994,1
,0
8307865234821,0
+319588615,1
+1234567xyz,0
9332764285,0
+347913477,1
+4490769878,1
+,0
7694615,0
+call123456,0
+2527,0
+1234567xyz,0
+4489195115,1
+1234567890 ext 123,0
77921350374378,0
+91493 91343,1
+49156420795,1
+55002202135,1
858217409926,0
+61196 7471,1
+1227671604,1
+1484 220829,1
+phone123456,0
+348037755,1
13689515298,0
8599738905672,0
+call123456,0
+81424 91406,1
(555) 123-4567,0
+73,0
++1234567890,0
+call123456,0
+31774,0
+7969827955,1
+9181310036,1
